ВАРИАНТ 6

МЕТОД CТРЕЛЬБ

Itr|    z(0)|    y(0)|             Delta|
   1|  0.00000|  1.97988|  0.020122811198041|
   2|  3.00000|  2.04027|  0.040274270010797|
   3|  1.50000|  2.01006|  0.010064990038878|
   4|  0.75000|  1.99497|  0.005031599240759|
   5|  1.12500|  2.00252|  0.002516023664032|
   6|  0.93750|  1.99874|  0.001257955778849|
   7|  1.03125|  2.00063|  0.000628991951872|
   8|  0.98438|  1.99969|  0.000314492412042|
   9|  1.00781|  2.00016|  0.000157247145388|
  10|  0.99609|  1.99992|  7.86232894718e-05|
  11|  1.00195|  2.00004|  3.93117639237e-05|
  12|  0.99902|  1.99998|  1.96558037850e-05|
  13|  1.00049|  2.00001|  9.82796982196e-06|
  14|  0.99976|  2.00000|  4.91391954283e-06|
  15|  1.00012|  2.00000|  2.45702449408e-06|
  16|  0.99994|  2.00000|  1.22844768624e-06|
  17|  1.00003|  2.00000|  6.14288364620e-07|

Максимальная по модулю погрешность: 0.04027427001

       x|    y(x)|     Yпр|    z(x)|            Delta|
  0.00000|  1.00000|  1.00000|  1.00003|  0.00000000000e+00|
  0.00625|  1.00625|  1.00625|  1.00225|  1.63755648153e-07|
  0.01250|  1.01254|  1.01254|  1.00869|  2.83342590279e-07|
  0.01875|  1.01887|  1.01887|  1.01903|  3.70511868741e-07|
  0.02500|  1.02528|  1.02528|  1.03296|  4.33935401611e-07|
  0.03125|  1.03179|  1.03179|  1.05016|  4.79999822778e-07|
  0.03750|  1.03842|  1.03841|  1.07035|  5.13399180502e-07|
  0.04375|  1.04518|  1.04517|  1.09324|  5.37576514192e-07|
  0.05000|  1.05209|  1.05209|  1.11854|  5.55052147355e-07|
  0.05625|  1.05916|  1.05916|  1.14601|  5.67667236551e-07|
  0.06250|  1.06642|  1.06641|  1.17537|  5.76764068727e-07|
  0.06875|  1.07386|  1.07386|  1.20639|  5.83319258007e-07|
  0.07500|  1.08150|  1.08150|  1.23882|  5.88041926486e-07|
  0.08125|  1.08934|  1.08934|  1.27244|  5.91445932452e-07|
  0.08750|  1.09741|  1.09740|  1.30703|  5.93902889534e-07|
  0.09375|  1.10568|  1.10568|  1.34238|  5.95680999638e-07|
  0.10000|  1.11419|  1.11419|  1.37829|  5.96973443567e-07|
  0.10625|  1.12291|  1.12291|  1.41456|  5.97919088463e-07|
  0.11250|  1.13187|  1.13187|  1.45101|  5.98617557523e-07|
  0.11875|  1.14105|  1.14105|  1.48747|  5.99140181023e-07|
  0.12500|  1.15046|  1.15046|  1.52377|  5.99537929746e-07|
  0.13125|  1.16010|  1.16010|  1.55975|  5.99847156391e-07|
  0.13750|  1.16996|  1.16996|  1.59526|  6.00093738701e-07|
  0.14375|  1.18004|  1.18004|  1.63015|  6.00296063080e-07|
  0.15000|  1.19033|  1.19033|  1.66430|  6.00467169987e-07|
  0.15625|  1.20084|  1.20084|  1.69756|  6.00616292479e-07|
  0.16250|  1.21155|  1.21155|  1.72983|  6.00749958224e-07|
  0.16875|  1.22246|  1.22246|  1.76099|  6.00872774426e-07|
  0.17500|  1.23356|  1.23356|  1.79094|  6.00987990484e-07|
  0.18125|  1.24484|  1.24484|  1.81956|  6.01097895236e-07|
  0.18750|  1.25630|  1.25630|  1.84679|  6.01204101613e-07|
  0.19375|  1.26793|  1.26792|  1.87252|  6.01307744486e-07|
  0.20000|  1.27971|  1.27970|  1.89668|  6.01409626100e-07|
  0.20625|  1.29163|  1.29163|  1.91919|  6.01510313114e-07|
  0.21250|  1.30369|  1.30369|  1.94001|  6.01610207207e-07|
  0.21875|  1.31588|  1.31588|  1.95905|  6.01709596593e-07|
  0.22500|  1.32818|  1.32818|  1.97628|  6.01808687772e-07|
  0.23125|  1.34058|  1.34058|  1.99165|  6.01907631737e-07|
  0.23750|  1.35307|  1.35307|  2.00510|  6.02006540618e-07|
  0.24375|  1.36564|  1.36564|  2.01662|  6.02105497682e-07|
  0.25000|  1.37827|  1.37827|  2.02616|  6.02204567990e-07|
  0.25625|  1.39096|  1.39096|  2.03371|  6.02303801944e-07|
  0.26250|  1.40369|  1.40369|  2.03925|  6.02403240624e-07|
  0.26875|  1.41645|  1.41645|  2.04276|  6.02502918001e-07|
  0.27500|  1.42922|  1.42922|  2.04423|  6.02602862054e-07|
  0.28125|  1.44199|  1.44199|  2.04367|  6.02703096542e-07|
  0.28750|  1.45476|  1.45476|  2.04107|  6.02803642114e-07|
  0.29375|  1.46750|  1.46750|  2.03643|  6.02904517422e-07|
  0.30000|  1.48021|  1.48021|  2.02978|  6.03005738009e-07|
  0.30625|  1.49287|  1.49287|  2.02111|  6.03107316977e-07|
  0.31250|  1.50547|  1.50547|  2.01046|  6.03209265648e-07|
  0.31875|  1.51800|  1.51800|  1.99785|  6.03311595126e-07|
  0.32500|  1.53044|  1.53044|  1.98330|  6.03414312739e-07|
  0.33125|  1.54279|  1.54278|  1.96685|  6.03517424258e-07|
  0.33750|  1.55502|  1.55502|  1.94852|  6.03620935014e-07|
  0.34375|  1.56714|  1.56714|  1.92836|  6.03724848114e-07|
  0.35000|  1.57912|  1.57912|  1.90642|  6.03829165335e-07|
  0.35625|  1.59096|  1.59096|  1.88273|  6.03933886234e-07|
  0.36250|  1.60265|  1.60265|  1.85734|  6.04039009477e-07|
  0.36875|  1.61418|  1.61418|  1.83031|  6.04144532623e-07|
  0.37500|  1.62553|  1.62553|  1.80169|  6.04250451008e-07|
  0.38125|  1.63670|  1.63670|  1.77154|  6.04356757750e-07|
